,powder1,powder2,fraction
590,BULLSEYE,IMR PB,[[1.13888889]]
591,SR7625,AMER-SELECT,[[0.9375]]
592,SR7625,CLAYS,[[1.21621622]]
593,SR7625,IMR 700X,[[1.15384615]]
594,SR7625,IMR PB,[[1.25]]
595,AMER-SELECT,CLAYS,[[1.2972973]]
596,AMER-SELECT,IMR 700X,[[1.23076923]]
597,AMER-SELECT,IMR PB,[[1.33333333]]
598,CLAYS,IMR 700X,[[0.94871795]]
599,CLAYS,IMR PB,[[1.02777778]]
600,IMR 700X,IMR PB,[[1.08333333]]
601,v-N350,v-3N37,"[[0.95588235]
 [1.41176471]]"
602,v-N350,v-N340,"[[1.12068966]
 [1.11627907]]"
603,v-N350,CFE PISTOL,"[[1.2037037 ]
 [1.39130435]]"
604,v-N350,v-N320,"[[1.32653061]
 [1.39130435]]"
605,v-N350,R SILHOUETTE,"[[1.12068966]
 [1.65517241]]"
606,v-N350,ACCUR #5,"[[1.06557377]
 [1.        ]]"
607,v-N350,R TRUE BLUE,"[[1.16071429]
 [0.92307692]]"
608,v-N350,WIN 244,"[[1.38297872]
 [2.04255319]]"
609,v-N350,WIN 572,"[[1.2037037 ]
 [1.77777778]]"
610,v-N350,AUTOCOMP,"[[1.38297872]
 [1.28      ]]"
611,v-N350,IMR TARGET,"[[1.66666667]
 [2.46153846]]"
612,v-N350,HS6,"[[1.        ]
 [0.97959184]]"
613,v-N350,SR4756,"[[1.22641509]
 [1.6       ]]"
614,v-N350,UNIVERSAL,"[[1.38297872]
 [1.35211268]]"
615,v-N350,ACCUR #2,"[[1.51162791]
 [1.41176471]]"
616,v-N350,TITEGROUP,"[[1.51162791]
 [1.41176471]]"
617,v-N350,SR7625,"[[1.44444444]
 [1.65517241]]"
618,v-N350,POWER PISTOL,"[[1.2037037 ]
 [1.04347826]]"
619,v-N350,UNIQUE,"[[1.3       ]
 [1.14285714]]"
620,v-N350,IMR 700X,"[[1.80555556]
 [2.13333333]]"
621,v-N350,CLAYS,"[[1.85714286]
 [2.74285714]]"
622,v-N350,WIN 296,"[[0.30952381]
 [0.45714286]]"
623,v-N350,H110,"[[0.30952381]
 [0.45714286]]"
624,v-N350,H4227,"[[0.36111111]
 [0.53333333]]"
625,v-N350,v-N110,"[[0.38690476]
 [0.57142857]]"
626,v-N350,R ENFORCER,"[[0.40123457]
 [0.59259259]]"
627,v-N350,LONGSHORT,"[[0.74712644]
 [1.10344828]]"
628,v-N350,HS6,"[[1.        ]
 [0.97959184]]"
629,v-N350,v-N350,"[[1.]
 [1.]]"
630,v-N350,v-N340,"[[1.12068966]
 [1.11627907]]"
631,v-N350,WIN 231,"[[0.89041096]
 [1.31506849]]"
632,v-N350,HP38,"[[0.89041096]
 [1.31506849]]"
633,v-N350,TITEGROUP,"[[1.51162791]
 [1.41176471]]"
634,v-N350,CFE PISTOL,"[[1.2037037 ]
 [1.39130435]]"
635,v-N350,R TRUE BLUE,"[[1.16071429]
 [0.92307692]]"
636,v-N350,AUTOCOMP,"[[1.38297872]
 [1.28      ]]"
637,v-N350,UNIVERSAL,"[[1.38297872]
 [1.35211268]]"
638,v-N350,ACCUR #7,"[[0.59633028]
 [0.88073394]]"
639,v-N350,ACCUR #5,"[[1.06557377]
 [1.        ]]"
640,v-N350,SR4756,"[[1.22641509]
 [1.6       ]]"
641,v-N350,HERC 2400,"[[0.42207792]
 [0.62337662]]"
642,v-N350,SR7625,"[[1.44444444]
 [1.65517241]]"
643,v-N350,IMR 700X,"[[1.80555556]
 [2.13333333]]"
644,v-N350,v-N320,"[[1.32653061]
 [1.39130435]]"
645,v-N350,POWER PISTOL,"[[1.2037037 ]
 [1.04347826]]"
646,v-N350,UNIQUE,"[[1.3       ]
 [1.14285714]]"
647,v-N350,v-N310,"[[1.08333333]
 [1.6       ]]"
648,v-N350,IMR PB,"[[1.44444444]
 [2.13333333]]"
649,v-N350,ACCUR #2,"[[1.51162791]
 [1.41176471]]"
650,v-3N37,v-N340,"[[1.17241379]
 [0.79069767]]"
651,v-3N37,CFE PISTOL,"[[1.25925926]
 [0.98550725]]"
652,v-3N37,v-N320,"[[1.3877551 ]
 [0.98550725]]"
653,v-3N37,R SILHOUETTE,[[1.17241379]]
654,v-3N37,ACCUR #5,"[[1.1147541 ]
 [0.70833333]]"
655,v-3N37,R TRUE BLUE,"[[1.21428571]
 [0.65384615]]"
656,v-3N37,WIN 244,[[1.44680851]]
657,v-3N37,WIN 572,[[1.25925926]]
658,v-3N37,AUTOCOMP,"[[1.44680851]
 [0.90666667]]"
659,v-3N37,IMR TARGET,[[1.74358974]]
660,v-3N37,HS6,"[[1.04615385]
 [0.69387755]]"
661,v-3N37,SR4756,"[[1.28301887]
 [1.13333333]]"
662,v-3N37,UNIVERSAL,"[[1.44680851]
 [0.95774648]]"
663,v-3N37,ACCUR #2,"[[1.58139535]
 [1.        ]]"
664,v-3N37,TITEGROUP,"[[1.58139535]
 [1.        ]]"
665,v-3N37,SR7625,"[[1.51111111]
 [1.17241379]]"
666,v-3N37,POWER PISTOL,"[[1.25925926]
 [0.73913043]]"
667,v-3N37,UNIQUE,"[[1.36      ]
 [0.80952381]]"
668,v-3N37,IMR 700X,"[[1.88888889]
 [1.51111111]]"
669,v-3N37,CLAYS,[[1.94285714]]
670,v-3N37,WIN 296,[[0.32380952]]
671,v-3N37,H110,[[0.32380952]]
672,v-3N37,H4227,[[0.37777778]]
673,v-3N37,v-N110,[[0.4047619]]
674,v-3N37,R ENFORCER,[[0.41975309]]
675,v-3N37,LONGSHORT,[[0.7816092]]
676,v-3N37,HS6,"[[1.04615385]
 [0.69387755]]"
677,v-3N37,v-N350,"[[1.04615385]
 [0.70833333]]"
678,v-3N37,v-N340,"[[1.17241379]
 [0.79069767]]"
679,v-3N37,WIN 231,[[0.93150685]]
680,v-3N37,HP38,[[0.93150685]]
681,v-3N37,TITEGROUP,"[[1.58139535]
 [1.        ]]"
682,v-3N37,CFE PISTOL,"[[1.25925926]
 [0.98550725]]"
683,v-3N37,R TRUE BLUE,"[[1.21428571]
 [0.65384615]]"
684,v-3N37,AUTOCOMP,"[[1.44680851]
 [0.90666667]]"
685,v-3N37,UNIVERSAL,"[[1.44680851]
 [0.95774648]]"
686,v-3N37,ACCUR #7,[[0.62385321]]
687,v-3N37,ACCUR #5,"[[1.1147541 ]
 [0.70833333]]"
688,v-3N37,SR4756,"[[1.28301887]
 [1.13333333]]"
689,v-3N37,HERC 2400,[[0.44155844]]
690,v-3N37,SR7625,"[[1.51111111]
 [1.17241379]]"
691,v-3N37,IMR 700X,"[[1.88888889]
 [1.51111111]]"
692,v-3N37,v-N320,"[[1.3877551 ]
 [0.98550725]]"
693,v-3N37,POWER PISTOL,"[[1.25925926]
 [0.73913043]]"
694,v-3N37,UNIQUE,"[[1.36      ]
 [0.80952381]]"
695,v-3N37,v-N310,[[1.13333333]]
696,v-3N37,IMR PB,[[1.51111111]]
697,v-3N37,ACCUR #2,"[[1.58139535]
 [1.        ]]"
